Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.9099999999999999,0.01,0.3408495860177587
75% Corpus,10,0.9099999999999999,0.31,0.3377259538003176
75% Corpus,10,0.9099999999999999,0.61,0.33445717379930856
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.33720195227960487
75% Corpus,10,0.9099999999999999,symmetric,0.3421210611471716
75% Corpus,10,symmetric,0.01,0.3396327449948625
75% Corpus,10,symmetric,0.31,0.3401136301184858
75% Corpus,10,symmetric,0.61,0.34343480663899684
75% Corpus,10,symmetric,0.9099999999999999,0.3447550961364009
75% Corpus,10,symmetric,symmetric,0.3379059291062023
75% Corpus,10,asymmetric,0.01,0.33569474224621737
75% Corpus,10,asymmetric,0.31,0.33411189226344684
75% Corpus,10,asymmetric,0.61,0.3359702177631189
75% Corpus,10,asymmetric,0.9099999999999999,0.3441199552783424
75% Corpus,10,asymmetric,symmetric,0.33610093249811734
100% Corpus,2,0.01,0.01,0.33443070043123985
100% Corpus,2,0.01,0.31,0.3349355750456026
100% Corpus,2,0.01,0.61,0.3501526579100088
100% Corpus,2,0.01,0.9099999999999999,0.344349447213804
100% Corpus,2,0.01,symmetric,0.33443070043123985
100% Corpus,2,0.31,0.01,0.33827423422768776
100% Corpus,2,0.31,0.31,0.34242122388644536
100% Corpus,2,0.31,0.61,0.3410932646702321
100% Corpus,2,0.31,0.9099999999999999,0.3258330441911034
100% Corpus,2,0.31,symmetric,0.33860293673579583
100% Corpus,2,0.61,0.01,0.34739849930517996
100% Corpus,2,0.61,0.31,0.3406664803388992
100% Corpus,2,0.61,0.61,0.3376981518167322
100% Corpus,2,0.61,0.9099999999999999,0.32899315481985764
100% Corpus,2,0.61,symmetric,0.34224869464465046
100% Corpus,2,0.9099999999999999,0.01,0.3380372591820336
100% Corpus,2,0.9099999999999999,0.31,0.338059460426384
100% Corpus,2,0.9099999999999999,0.61,0.33929862221428586
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.33673546913061625
100% Corpus,2,0.9099999999999999,symmetric,0.3425834921973244
100% Corpus,2,symmetric,0.01,0.3353351266301789
100% Corpus,2,symmetric,0.31,0.3370894673740101
100% Corpus,2,symmetric,0.61,0.35048670276856025
100% Corpus,2,symmetric,0.9099999999999999,0.3210712974114505
100% Corpus,2,symmetric,symmetric,0.33764271198397316
100% Corpus,2,asymmetric,0.01,0.33178323444355506
100% Corpus,2,asymmetric,0.31,0.3324888469063994
100% Corpus,2,asymmetric,0.61,0.33657760781349505
100% Corpus,2,asymmetric,0.9099999999999999,0.33860374214355826
100% Corpus,2,asymmetric,symmetric,0.3320910821028145
100% Corpus,3,0.01,0.01,0.3360766128386562
100% Corpus,3,0.01,0.31,0.3349355750456026
100% Corpus,3,0.01,0.61,0.34674219882754204
100% Corpus,3,0.01,0.9099999999999999,0.3152966702737778
100% Corpus,3,0.01,symmetric,0.3344307004312399
100% Corpus,3,0.31,0.01,0.3387251942560388
100% Corpus,3,0.31,0.31,0.3381788753273178
100% Corpus,3,0.31,0.61,0.3395208563815046
100% Corpus,3,0.31,0.9099999999999999,0.3432968462171294
100% Corpus,3,0.31,symmetric,0.33993011727096556
100% Corpus,3,0.61,0.01,0.34012031059469316
100% Corpus,3,0.61,0.31,0.3393182492890655
100% Corpus,3,0.61,0.61,0.3347613141498368
100% Corpus,3,0.61,0.9099999999999999,0.3381773940876596
100% Corpus,3,0.61,symmetric,0.34344024981908294
100% Corpus,3,0.9099999999999999,0.01,0.3404852888412852
100% Corpus,3,0.9099999999999999,0.31,0.3432224654581083
100% Corpus,3,0.9099999999999999,0.61,0.33858964439522293
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.32655377041203465
100% Corpus,3,0.9099999999999999,symmetric,0.3426446249107006
100% Corpus,3,symmetric,0.01,0.3365857115742738
100% Corpus,3,symmetric,0.31,0.33787582090621787
100% Corpus,3,symmetric,0.61,0.3471514884898308
100% Corpus,3,symmetric,0.9099999999999999,0.33780154306723287
100% Corpus,3,symmetric,symmetric,0.3339643234467333
100% Corpus,3,asymmetric,0.01,0.3304390864277299
100% Corpus,3,asymmetric,0.31,0.32859006625187887
100% Corpus,3,asymmetric,0.61,0.3378036352311135
100% Corpus,3,asymmetric,0.9099999999999999,0.33693194014309175
100% Corpus,3,asymmetric,symmetric,0.331284998496516
100% Corpus,4,0.01,0.01,0.33443070043123985
100% Corpus,4,0.01,0.31,0.33794844766869964
100% Corpus,4,0.01,0.61,0.3449385068548923
100% Corpus,4,0.01,0.9099999999999999,0.34227575247150355
100% Corpus,4,0.01,symmetric,0.33271372377977954
100% Corpus,4,0.31,0.01,0.34656847195928137
100% Corpus,4,0.31,0.31,0.33680578955897256
100% Corpus,4,0.31,0.61,0.33221946396802593
100% Corpus,4,0.31,0.9099999999999999,0.3254356385721386
100% Corpus,4,0.31,symmetric,0.3424989053302504
100% Corpus,4,0.61,0.01,0.344232949174729
100% Corpus,4,0.61,0.31,0.3404265464844305
100% Corpus,4,0.61,0.61,0.3351893309592203
100% Corpus,4,0.61,0.9099999999999999,0.3302064311592058
